id,title,buyer,value,cpvs,stage,published_date,date_modified,contract_start,contract_end,description,source,source_url,batch_id
03a29864-8976-4b1e-bbe2-8daa275ef35b-892714,Pharmacy Outpatient Dispensing,Barts Health NHS Trust,6000000,85149000,tender,2026-04-14T09:11:51+01:00,,2026-11-01T00:00:00Z,2031-10-31T23:59:59Z,"The Authority is seeking a managed service provider to deliver outpatient pharmacy services at Barts Health NHS Trust.

Additional information: 
To express interest and participate in the tender, please register and apply via Atamis e-sourcing portal https://health-family.force.com/s/Welcome.

Should Tenderers have any queries, or having problems using the portal, they should contact Helpdesk at:

Phone: 0800 9956035

E-mail: support-health@atamis.co.uk",Contracts Finder,https://www.contractsfinder.service.gov.uk/Notice/03a29864-8976-4b1e-bbe2-8daa275ef35b,batch_20260414_194909
958ede25-45c2-4348-9d02-b7d9d1da494f-892673,Virtual Wards Software,Barts Health NHS Trust,250000,48000000,tender,2026-04-13T16:02:21+01:00,,2026-07-01T00:00:00+01:00,2027-06-30T23:59:59+01:00,"Barts Health are seeking virtual wards software to allow patients of all ages to safely and conveniently receive acute care at their usual place of residence, including care homes.

Additional information: 
To express interest and participate in the tender, please register and apply via Atamis e-sourcing portal https://health-family.force.com/s/Welcome.

Should Tenderers have any queries, or having problems using the portal, they should contact Helpdesk at:

Phone: 0800 9956035

E-mail: support-health@atamis.co.uk",Contracts Finder,https://www.contractsfinder.service.gov.uk/Notice/958ede25-45c2-4348-9d02-b7d9d1da494f,batch_20260414_194909
39e4560f-6e5a-42c9-af58-b2d891b57ec7-892652,CA17570 - Temporary and Permanent Staffing 2 Framework,Crescent Purchasing Consortium Limited,,79600000,tender,2026-04-13T15:06:21+01:00,,2026-07-20T00:00:00+01:00,2029-07-16T23:59:59+01:00,"This process is a re-tender of the current Temporary & Permanent Staffing Framework let by CPC and expiring in July 2026.

CPC intends to put a Framework in place for the supply of temporary and permanent staffing, across education and also the wider public sector. The purpose of this Framework is to give CPC members a compliant route to market. The collective spending power of Members utilising CPC frameworks is harnessed to drive down costs, which often allows for savings delivery which our membership otherwise would be unable to achieve individually.

CPC will be using the MultiQuote e-Tendering platform to carry out this tender. In order to express your interest in this tender and obtain the tender documents, please register or log in at: https://suppliers.multiquote.com/Page/Login.aspx  If you have any issues when using MultiQuote, please contact Elcom Ltd on 020 3920 8054 or email support@elcom.com

Includes Lots: 
Lot 1: Lot 1 - Academic Roles
Lot 2: Lot 2 - Non-Academic Roles
Lot 3: Lot 3 - Executive & Leadership Roles
Lot 4: Lot 4 - Master Vendor
Lot 5: Lot 5 - Neutral Vendor
Lot 6: Lot 6 - Vendor Management System (VMS)

To access this competition: 

Registered:
Login to https://suppliers.multiquote.com and view the opportunity CA17570.

Not registered:
Visit https://suppliers.multiquote.com then register and quote CA17570 as the reason for registration. 

 Any queries please contact MultiQuote on 0151 482 9230.",Contracts Finder,https://www.contractsfinder.service.gov.uk/Notice/39e4560f-6e5a-42c9-af58-b2d891b57ec7,batch_20260414_194909
b74ea89e-cb0e-476b-a232-6d80d936f03f-892636,Tender For Insurance of Marine Vessels 2026-2029,HM Government of Gibraltar,300000,66514150,tender,2026-04-13T15:06:18+01:00,,2026-08-01T00:00:00+01:00,2029-07-31T23:59:59+01:00,"OPEN PROCEDURE NOTICE

Tender For Insurance of Marine Vessels 2026-2029

1. 	Contracting Authority
H.M. Government of Gibraltar 
6 Convent Place
GIBRALTAR

2. 	H.M. Government of Gibraltar invites tenders from economic operators for the provision of insurance services in respect of marine vessels for the period 2026-2029, in accordance with the requirements set out in the Tender Documents.

	(a)	CPV No: 66514150- Vessel insurance services
	(b)	Place of delivery: Gibraltar - GI

3. 	 Variants will not be accepted. 

4. 	Minimum time frame during which tenderer must maintain the tender: 120 days

5. 	Award Criteria - The most economically advantageous tender in terms of the criteria stated in the tender documents.

6. 	Further information and the documents are available from:

 https://hmgogsupplier.gibraltar.gov.gi 

7. 	All communications, including information requested in the tender documents, must be submitted in English. Where information is provided in another language, this shall be accompanied by a translation into English.

8. 	Any contract will be subject to the Law of Gibraltar and the Authority does not bind itself to accepting the lowest or any tender.

9. 	Date of  submission of completed applications - 12:00 noon on THURSDAY 14TH MAY 2026.

Additional information: Gibraltar does not participate in the Agreement on Government Procurement (GPA) under the World Trade Organization (WTO). HM Government of Gibraltar therefore reserves the right to consider only those bids from eligible tenderers in Gibraltar, the UK, or a country or territory covered by a trade agreement extending to Gibraltar that contains relevant procurement provisions.",Contracts Finder,https://www.contractsfinder.service.gov.uk/Notice/b74ea89e-cb0e-476b-a232-6d80d936f03f,batch_20260414_194909
0c1116ff-9a52-4f5d-929c-4aa78a5f77bd-892645,Provider Event for Domestic Abuse skilled workers based within Together for Families Children's social care,Cornwall Council,2185000,85000000,tender,2026-04-13T14:48:35+01:00,,2027-01-04T00:00:00Z,2030-12-31T23:59:59Z,"Cornwall Council is preparing to recommission the Family Domestic Abuse Skilled Worker (FDASA) Service, with a new contract expected to begin January 2027.
We are holding a Provider Market Engagement Event to share our early service outline and gather provider views before finalising the tender.

The FDASA model provides a small team of specialist domestic abuse workers who are based within Family Help teams to offer short-term, focused support to families where domestic abuse is a primary concern. Their role is to increase safety, improve understanding of risk, and support access to wider domestic abuse services, while working alongside-rather than replacing-Children's Social Care. The service includes a supervisor/team lead to ensure consistency and coordination.

Provider Market Engagement Event
Date: 11th May 2026
Time: 1pm - 3pm 
",Contracts Finder,https://www.contractsfinder.service.gov.uk/Notice/0c1116ff-9a52-4f5d-929c-4aa78a5f77bd,batch_20260414_194909
3242ef00-34c4-4164-aeed-f37d3071cbed-892638,Haslemere Primary School Roof replacement Phase 2,London Borough of Merton,245000,45000000,tender,2026-04-13T14:36:55+01:00,,2026-05-26T00:00:00+01:00,2026-09-11T23:59:59+01:00,"Haslemere Primary School roof replacement works phase 2.
All correspondence and submission of tenders regarding this opportunity must be done via the London Tenders Portal.

Due to the short timescale there will only be one site visit, details of which will be published on the London Tenders Portal.",Contracts Finder,https://www.contractsfinder.service.gov.uk/Notice/3242ef00-34c4-4164-aeed-f37d3071cbed,batch_20260414_194909
abc8bbfc-f0db-41a3-b3c8-e74e837d0cf1-892615,Laser Ablation System,University of Bristol,210000,38000000,tender,2026-04-13T13:17:33+01:00,,2026-05-11T00:00:00+01:00,2027-05-11T23:59:59+01:00,"This is for the purchase of a 193nm excimer laser ablation system, with a two volume sampling chamber.
We want the new laser to represent a significant step forward in our laser ablation provision. In particular we are interested in: improved performance, notably smaller, usable spot sizes for detection of pre-solar grains, more efficient transfer of material from sample to mass-spectrometer, longer life UV-optical components, better optical imaging, next generation sample cell construction and effective, easy to use software.",Contracts Finder,https://www.contractsfinder.service.gov.uk/Notice/abc8bbfc-f0db-41a3-b3c8-e74e837d0cf1,batch_20260414_194909
3a5bc50b-1273-431d-b990-29cb95447c7b-892594,CA17568 - RFQ 2026/04 - Events Management Training Programme for Newry and Crotlieve,"Newry, Mourne and Down District Council (NMD)",,"98000000, 92000000, 80000000",tender,2026-04-13T12:06:17+01:00,,2026-06-01T00:00:00+01:00,2026-08-31T23:59:59+01:00,"Newry Mourne & Down District Council's PEACEPLUS Action Plan includes the delivery of Capacity Building and Engagement Programmes under Strand 2 - Thriving and Peaceful Communities. Strand 2 focuses on eight identified priority projects encompassing a broad range of initiatives focused on capacity building, leadership development, cross community relationship building interaction and engagement, social and emotional support, events and festivals and community justice interventions.

Competent consultancy companies are hereby invited to tender to design, develop and deliver a Capacity Building Programme.  This programme will build the capacity of local organisations/ communities through cross community collaboration and support sustainable service provision within the district.  This project will deliver 2 events management training programmes for community groups and volunteers, one will be held within the Newry DEA and one will be held within the Crotlieve DEA.

To access this competition: 

Registered:
Login to https://suppliers.multiquote.com and view the opportunity CA17568.

Not registered:
Visit https://suppliers.multiquote.com then register and quote CA17568 as the reason for registration. 

 Any queries please contact MultiQuote on 0151 482 9230.",Contracts Finder,https://www.contractsfinder.service.gov.uk/Notice/3a5bc50b-1273-431d-b990-29cb95447c7b,batch_20260414_194909
f99045f9-d8eb-4f29-a281-126d31da8527-892581,YPO - 001056 Metering and Meter Data Services,YPO,10000000,"65000000, 72314000",tender,2026-04-13T11:37:06+01:00,,2028-10-29T00:00:00+01:00,2028-10-30T23:59:59Z,"YPO are looking for Suppliers to be appointed onto a Dynamic Purchasing System (DPS) for the provision of Metering and Meter Data Services. The DPS is designed to meet the needs of all public sector organisations which includes YPO's internal requirements and any of YPO's wholly owned associated or subsidiary companies. DPS contains the following categories: 
1	Heat Metering and Heat Meter Services
2	Automatic Meter Reading for Water Supply and Wastewater
3	Data Collection, Metering Operator Services, Meter Asset Management & Sub Metering for Electricity
4	Data Collection, Metering Operator Services, Meter Asset Management & Sub Metering for Gas
5	Data Collection, Metering Operator Service, Meter Asset Management & Sub Metering for Gas & Electricity
Please note that the deadline for initial round of submissions is 10th May 2021 at 14:00. Following the initial establishment, the DPS will remain open for any Suppliers to submit a bid at any point until the closing date of the DPS. 1.7	The DPS will cover the period from 16th July 2021 to 28th October 2028, subject to an annual review, incorporating price negotiations and KPI performance.

Please note that this updated contract finder notice is to :-
- Direct suppliers to the new e-tendering portal which can be accessed at http://ypo2.my.site.com/s/Welcome where you will be able to apply for the DPS and obtain the procurement documentation.
- Update the start date of the DPS as described in the description section as evaluation took longer than expected due to the quality and volume of bids received. 
- Update YPO's contact details",Contracts Finder,https://www.contractsfinder.service.gov.uk/Notice/f99045f9-d8eb-4f29-a281-126d31da8527,batch_20260414_194909
2c749ea5-7268-4dee-9044-0022248974df-892575,"YPO - 001087 Low Energy Lighting Systems to Include Internal, External and Emergency Lighting",YPO,10000000,"45310000, 31518200, 31527260",tender,2026-04-13T11:11:46+01:00,,2029-02-24T00:00:00Z,2029-02-25T23:59:59Z,"YPO are looking for Suppliers to be appointed onto a Dynamic Purchasing System (DPS) for the provision of Low Energy Lighting Systems to include Internal, External and Emergency Lighting. The DPS is designed to meet the needs of all public sector organisations which includes YPO's internal requirements and any of YPO's wholly owned associated or subsidiary companies.  Please note that deadline for submissions for the initial establishment/first round of the DPS is 27 October 2021 at 14:00pm. Following the initial establishment, the DPS will remain open for any Suppliers to submit a bid at any point until the closing date of the DPS.

The DPS will cover the period from 14 December 2021 to 23 February 2029, subject to an annual review, incorporating KPI performance.

The update to this contracts finder notice is:-
1. Change in YPO contact details
2. Change to YPO's e-tendering portal to access the procurement documents and bid.
The new e-tendering portal can be found at http://ypo2.my.site.com/s/Welcome
3. Change to the start date of the DPS as a result of the volume and quality of bids received which took longer to evaluate than expected
4. To update the description section with the actual start and end date of the DPS",Contracts Finder,https://www.contractsfinder.service.gov.uk/Notice/2c749ea5-7268-4dee-9044-0022248974df,batch_20260414_194909
289e0800-470d-4d6b-83f6-a6a4256989b5-892560,YPO - 001080  The Supply of Renewable Biomass And Related Services,YPO,25000000,"03413000, 09000000",tender,2026-04-13T10:40:13+01:00,,2029-02-25T00:00:00Z,2029-02-26T23:59:59Z,"YPO are looking for Suppliers to be appointed onto a Dynamic Purchasing System (DPS) for the provision of 'The supply of Renewable Biomass and/or other related services - Ref 001080. The DPS is designed to meet the needs of all public sector organisations which includes YPO's internal requirements and any of YPO's wholly owned associated or subsidiary companies. The DPS will cover the period from 16/08/2021 to 24/02/2029 (subject to an annual review, incorporating price negotiations and KPI performance).

Please note that deadline for the initial establishment/first round of the DPS submissions is 10/06/2021 at 14:00. Following the initial establishment, the DPS will remain open for any Suppliers to submit a bid at any point until the closing date of the DPS.

This update to the Contract Finder notice is to direct suppliers to the new e-tendering portal which can be accessed at http://ypo2.my.site.com/s/Welcome where you will be able to apply for the DPS and obtain the procurement documentation",Contracts Finder,https://www.contractsfinder.service.gov.uk/Notice/289e0800-470d-4d6b-83f6-a6a4256989b5,batch_20260414_194909
df39b405-3280-4aa2-89e9-0b9c7ad585c3-892558,Court Appointed Intermediary Services - Framework Re-Opening October 2025,Ministry of Justice,,75231100,tender,2026-04-13T10:39:19+01:00,,2026-07-20T00:00:00+01:00,2029-03-31T23:59:59+01:00,"This notice relates to the re-opening of framework agreements originally awarded following a procurement exercise conducted under the light tough regime, following a process similar to the open procedure.

The Ministry of Justice (MoJ) is inviting tenders for the provision of Court Appointed Intermediary Services (CAIS), to support vulnerable defendants in the criminal jurisdiction and vulnerable parties and witnesses in the civil, family and tribunal jurisdictions. These services will be provided in courts and tribunals in England and Wales and tribunals in Scotland.

Intermediaries facilitate impartial communication to enable complete, coherent and accurate communication between vulnerable people and the courts/tribunals. Intermediaries may be instructed to provide an assessment of a person&apos;s communication needs, and provide recommendations on measures that could be put in place by the court to support vulnerable people, young people, children and other individuals who may need assistance during court proceedings. The intermediary may also be required to attend hearings to provide such assistance and support.

For the avoidance of doubt, the MoJ is only seeking tenders in relation to intermediary services that currently fall outside the remit of the MoJ Witness Intermediary Scheme (MoJ WIS). All requests for intermediary support for witnesses in criminal cases will continue to be managed via the MoJ WIS.

Additional information: 
The MoJ invites tenders for Court Appointed Intermediary Services to support two existing framework agreements: the Managed & Approved Service Provider framework (MASP), and the Approved Service Provider framework (ASP).

The MASP framework seeks providers with the ability to manage multiple simultaneous bookings, and the capability to recruit, train and manage intermediaries to support a range of vulnerabilities, for deployment nationally.

The ASP framework seeks experienced and qualified intermediaries to support bookings on demand.

There is no limit to the number of service providers awarded a place on either framework, however a service provider may not hold a place on both the MASP and ASP frameworks simultaneously.

The MoJ is managing this procurement in accordance with its general obligations under UK law and specifically in accordance with the Public Contracts Regulations 2015 (PCRs) and the Light Touch Regime contained within Regulations 74 to 77.

The framework agreements are dynamic frameworks and a hybrid of a framework agreement and dynamic purchasing system. As such, the framework agreements will be re-opened at six month intervals for the admission of new service providers who qualify against the selection and award criteria outlined in the procurement documents.",Contracts Finder,https://www.contractsfinder.service.gov.uk/Notice/df39b405-3280-4aa2-89e9-0b9c7ad585c3,batch_20260414_194909
502efc8f-0284-4483-acfc-169f9c31429d-892554,Balfour Beatty - Roads North of the Thames-LTC - Pavement Survey Works,BALFOUR BEATTY CIVIL ENGINEERING LIMITED,50000,71353000,tenderAmendment,2026-04-13T10:19:40+01:00,,2026-08-01T00:00:00+01:00,2027-08-01T23:59:59+01:00,"We are inviting expressions of interest from qualified and experienced subcontractors for the Paving Survey works as part of the Lower Thames Crossing programme.

What We're Looking For
Subcontractors should be able to:

Deliver the project safely and on time.
Work in line with health, safety, low carbon, sustainability and quality requirements.

Experience & Standards
We are looking for companies with:

Previous experience on similar projects.
Strong health, safety, and environmental practices.
Quality management systems and relevant certifications.
Ability to support social value and sustainability goals.

Next Steps
If you are interested and would like more details, including pre-qualification requirements and tender timelines, please respond to this notice by 23rd March 2026.

Additional information: The Lower Thames Crossing (LTC) is a new road to better connect Essex and Kent through a tunnel beneath the River Thames. Our purpose is to drive a change in how we deliver - connecting people to jobs and businesses to opportunities, leaving a skills legacy for the local community and construction industry, all whilst restoring nature and drawing a new blueprint for low-carbon construction.

Our ambition is to deliver the UK's greenest road, and to do the right thing for local communities and the environment. We can only achieve this with the support of our supply chain, and it is therefore critical that for any supplier to be successful in winning work on LTC, they must demonstrate commitments to supporting delivery of our ambitions:

• Delivering the works through a 'zero emissions' solution, and not using diesel on site in any plant or machinery.

• Supporting us to leave a skills legacy for the local community, by not only recruiting locally, but upskilling your workforce to enable meaningful progression into higher paid higher skilled work.

• Helping to facilitate successful opportunities by providing early careers roles, as well as inspiring young people into construction through delivery of STEM engagement.",Contracts Finder,https://www.contractsfinder.service.gov.uk/Notice/502efc8f-0284-4483-acfc-169f9c31429d,batch_20260414_194909
c52240e5-44e4-4d25-8e69-ebc89dcfee5c-892540,"CWC23084 Task 7 - Lincol Green, Bushbury and Wood End",Wolverhampton City Council,20082684.7,45000000,tender,2026-04-13T09:40:04+01:00,,2026-04-17T00:00:00+01:00,2028-07-31T23:59:59+01:00,"Call Off from Internal Housing Development Framework Agreement, for the demolition of all remaining council owned bungalows and the construction of 63nr bungalows (1nr three-bedroom and 62nr two-bedroom) at Lincoln Green, Bushbury, WV10 8HW, and the demolition of all remaining council owned bungalows and the construction of 12nr bungalows (9nr two-bedroom and 3nr one-bedroom) at Wood End, Wednesfield, WV11 1LT, the construction of 4nr two-bedroom maisonettes at School Lane, Bushbury, WV10 8HY with all associated external works and services to all

Additional information: 
Keon Homes Limited",Contracts Finder,https://www.contractsfinder.service.gov.uk/Notice/c52240e5-44e4-4d25-8e69-ebc89dcfee5c,batch_20260414_194909
e913c60f-7894-4916-956a-7cfde7ba7a60-892537,"CWC23084 Task 7 - Lincol Green, Bushbury and Wood End",Wolverhampton City Council,20082684.7,45000000,tender,2026-04-13T09:34:50+01:00,,2026-04-17T00:00:00+01:00,2028-07-31T23:59:59+01:00,"Call Off from Internal Housing Development Framework Agreement, for the demolition of all remaining council owned bungalows and the construction of 63nr bungalows (1nr three-bedroom and 62nr two-bedroom) at Lincoln Green, Bushbury, WV10 8HW, and the demolition of all remaining council owned bungalows and the construction of 12nr bungalows (9nr two-bedroom and 3nr one-bedroom) at Wood End, Wednesfield, WV11 1LT, the construction of 4nr two-bedroom maisonettes at School Lane, Bushbury, WV10 8HY with all associated external works and services to all",Contracts Finder,https://www.contractsfinder.service.gov.uk/Notice/e913c60f-7894-4916-956a-7cfde7ba7a60,batch_20260414_194909
d256a723-27fb-4910-a7cd-cd2ebf176a56-892519,5038.EFM.SW Geography Roofing,UNIVERSITY OF SHEFFIELD,985000,"45260000, 45261000, 45262000",tender,2026-04-13T08:59:05+01:00,,2026-06-15T00:00:00+01:00,2026-11-13T23:59:59Z,"The University of Sheffield is out to tender on behalf of the Department of  Estates and Facilities Management for re-roofing works.
Scope of Requirement:
The main aim of the project is to undertake reroofing works to the Geography Building, including replacement of roofing coverings to most areas, removal of life expired glazed roof lanterns and replacement of Linit U-channel glazing with new aluminium curtain walling. 
The full technical specification can be found in the tender documentation which will be sent to you once you have expressed your interest. 
Tender Process and Documentation:
This is an open exercise. The ITT can be downloaded by registering and expressing your interest on the University`s e-tendering system https://in-tendhost.co.uk/Sheffield.
If you have any questions or comments in relation to this tender they must be submitted via the In-tend System, this can be accessed at https://in-tendhost.co.uk/Sheffield
Completed tenders must be returned through the same e-tendering system.
Closing date for receipt of tenders: 1st May 2026 at 12 noon (UK time).

Additional information: The University of Sheffield is not a contracting authority for the purposes of the Public Contracts Regulations 2015 (Directive 2014/24/EU) as amended by the Public Procurement (Amendment) (EU Exit) Regulations 2020.
The University reserves the right from time to time to voluntarily operate under the Public Contract Regulations (as defined above) on a case by case basis. Otherwise, advertisement of any contract in Find a Tender Service or Contracts Finder is at the sole discretion of the University and is undertaken on a voluntary basis with no implied obligation to comply with the procurement legislation.
For the avoidance of doubt, this procurement is not subject the Public Contract Regulations (as defined above).",Contracts Finder,https://www.contractsfinder.service.gov.uk/Notice/d256a723-27fb-4910-a7cd-cd2ebf176a56,batch_20260414_194909
